id,zip,city,state,city_type,zip_type,latitude,longitude,header_title,meta_description,meta_keywords,page_header,page_description,url_name
1,3582,Groveton,NH,D,S,60.5703538,26.9800485,,,,,,5
2,3583,Jefferson,NH,D,S,52.0832188,5.1429299,,,,,,6
3,3584,Lancaster,NH,D,S,15.4984220,-87.9805329,,,,,,
4,3585,Lisbon,NH,D,S,-35.3715290,143.4133277,,,,,,
5,3586,Sugar Hill,NH,D,S,15.5019839,-87.9816409,,,,,,
6,3588,Milan,NH,D,S,47.8568152,20.9909186,,,,,,
7,3589,Mount Washington,NH,D,P,47.8322989,21.0010423,,,,,,
8,3590,North Stratford,NH,D,S,49.4790483,6.0844506,,,,,,
9,3592,Pittsburg,NH,D,S,-37.0239253,175.6229296,,,,,,
10,3593,Randolph,NH,D,S,60.7992985,26.7625119,,,,,,
11,3595,Twin Mountain,NH,D,P,15.5046113,-87.9762551,,,,,,
12,3597,West Stewartstown,NH,D,P,15.5035319,-87.9758099,,,,,,
13,3598,Whitefield,NH,D,S,15.5032488,-87.9759906,,,,,,
14,3601,Acworth,NH,D,S,0.0000000,0.0000000,,,,,,
15,3602,Alstead,NH,D,S,0.0000000,0.0000000,,,,,,
16,3603,Charlestown,NH,D,S,0.0000000,0.0000000,,,,,,
17,3604,Drewsville,NH,D,P,0.0000000,0.0000000,,,,,,
18,3605,Lempster,NH,D,S,0.0000000,0.0000000,,,,,,
19,3607,South Acworth,NH,D,S,0.0000000,0.0000000,,,,,,
20,3608,Walpole,NH,D,S,0.0000000,0.0000000,,,,,,
21,3609,North Walpole,NH,D,S,0.0000000,0.0000000,,,,,,
22,3740,Bath,NH,D,S,0.0000000,0.0000000,,,,,,
23,3741,Canaan,NH,D,S,0.0000000,0.0000000,,,,,,
24,3743,Claremont,NH,D,S,0.0000000,0.0000000,,,,,,
25,3745,Cornish,NH,D,S,0.0000000,0.0000000,,,,,,
26,3746,Cornish Flat,NH,D,P,0.0000000,0.0000000,,,,,,
27,3748,Enfield,NH,D,S,0.0000000,0.0000000,,,,,,
28,3749,Enfield Center,NH,D,P,36.9465560,-90.5011830,,,,,,
29,3750,Etna,NH,D,S,15.5105135,-87.9895223,,,,,,
30,3751,Georges Mills,NH,D,P,60.8232447,26.9772558,,,,,,
31,3752,Goshen,NH,D,S,46.6579377,7.6348494,,,,,,
32,3753,Grantham,NH,D,S,15.5073607,-87.9884534,,,,,,
33,3754,Guild,NH,D,P,60.9182778,27.5632502,,,,,,
34,3755,Hanover,NH,D,S,52.2538365,5.2862423,,,,,,
35,3756,Lebanon,NH,D,P,48.4799986,20.6783279,,,,,,
36,3765,Haverhill,NH,D,S,49.4760460,6.0434800,,,,,,
37,3766,Lebanon,NH,D,S,15.5124384,-87.9942478,,,,,,
38,3768,Lyme,NH,D,S,0.0000000,0.0000000,,,,,,
39,3769,Lyme Center,NH,D,P,0.0000000,0.0000000,,,,,,
40,3770,Meriden,NH,D,S,0.0000000,0.0000000,,,,,,
41,3771,Monroe,NH,D,S,0.0000000,0.0000000,,,,,,
42,3773,Newport,NH,D,S,0.0000000,0.0000000,,,,,,
43,3774,North Haverhill,NH,D,S,0.0000000,0.0000000,,,,,,
44,3777,Orford,NH,D,S,0.0000000,0.0000000,,,,,,
45,3779,Piermont,NH,D,S,0.0000000,0.0000000,,,,,,
46,3780,Pike,NH,D,S,0.0000000,0.0000000,,,,,,
47,3781,Plainfield,NH,D,S,0.0000000,0.0000000,,,,,,
48,3782,Sunapee,NH,D,S,0.0000000,0.0000000,,,,,,
49,3784,West Lebanon,NH,D,S,0.0000000,0.0000000,,,,,,
50,3785,Woodsville,NH,D,S,15.5309304,-87.9645308,,,,,,
51,3801,Portsmouth,NH,D,S,47.5476900,-94.0770770,,,,,,
52,3802,Portsmouth,NH,D,P,47.5500140,-94.0871510,,,,,,
53,3803,Portsmouth,NH,D,U,55.0531179,22.9919415,,,,,,
54,3804,Portsmouth,NH,D,P,55.0030029,23.2951654,,,,,,
55,3805,Newington,NH,D,S,55.0009644,23.5174434,,,,,,
56,3809,Alton,NH,D,S,54.9029181,22.9000095,,,,,,
57,3810,Alton Bay,NH,D,S,32.0951050,-95.2269150,,,,,,
58,3811,Atkinson,NH,D,S,32.1017160,-95.2305710,,,,,,
59,3812,Bartlett,NH,D,S,47.5539470,-94.1116180,,,,,,
60,3813,Center Conway,NH,D,S,0.0000000,0.0000000,,,,,,
61,3814,Center Ossipee,NH,D,S,0.0000000,0.0000000,,,,,,
62,3815,Center Strafford,NH,D,S,0.0000000,0.0000000,,,,,,
63,3816,Center Tuftonboro,NH,D,S,0.0000000,0.0000000,,,,,,
64,3817,Chocorua,NH,D,S,0.0000000,0.0000000,,,,,,
65,3818,Conway,NH,D,S,0.0000000,0.0000000,,,,,,
66,3819,Danville,NH,D,S,0.0000000,0.0000000,,,,,,
67,3820,Dover,NH,D,S,0.0000000,0.0000000,,,,,,
68,3821,Dover,NH,D,P,0.0000000,0.0000000,,,,,,
69,501,Holtsville,NY,D,U,0.0000000,0.0000000,,,,,,
70,544,Holtsville,NY,D,U,0.0000000,0.0000000,,,,,,
71,601,Adjuntas,PR,D,S,0.0000000,0.0000000,,,,,,
72,602,Aguada,PR,D,S,0.0000000,0.0000000,,,,,,
73,603,Aguadilla,PR,D,S,32.3542080,-99.5623060,,,,,,
74,604,Aguadilla,PR,D,P,32.2639360,-99.5389500,,,,,,
75,605,Aguadilla,PR,D,P,32.5449770,-99.9526620,,,,,,
76,606,Maricao,PR,D,S,37.2223430,-92.5657910,,,,,,
77,610,Anasco,PR,D,S,32.9581690,-100.4849100,,,,,,
78,611,Angeles,PR,D,P,32.7237350,-100.5748670,,,,,,
79,612,Arecibo,PR,D,S,32.8228120,-101.2889920,,,,,,
80,613,Arecibo,PR,D,P,41.3055540,-80.1013270,,,,,,
81,614,Arecibo,PR,D,P,32.1742110,-99.7511450,,,,,,
82,616,Bajadero,PR,D,S,28.8312220,-96.5805530,,,,,,
83,617,Barceloneta,PR,D,S,33.3285050,-99.6991160,,,,,,
84,622,Boqueron,PR,D,S,28.7889960,-97.2539600,,,,,,
85,623,Cabo Rojo,PR,D,S,28.5611770,-97.8748280,,,,,,
86,624,Penuelas,PR,D,S,27.9783530,-97.9826860,,,,,,
87,627,Camuy,PR,D,S,41.3165480,-80.0685980,,,,,,
88,631,Castaner,PR,D,P,27.9402910,-97.4806120,,,,,,
89,636,Rosario,PR,D,P,32.1892770,-96.2895090,,,,,,
90,637,Sabana Grande,PR,D,S,32.0546760,-96.3600810,,,,,,
91,638,Ciales,PR,D,S,31.8195900,-96.5812040,,,,,,
92,641,Utuado,PR,D,S,36.6098990,-88.3020590,,,,,,
93,646,Dorado,PR,D,S,29.3701010,-95.0817000,,,,,,
94,647,Ensenada,PR,D,S,29.0743660,-96.4195230,,,,,,
95,650,Florida,PR,D,S,39.6281730,-81.8219890,,,,,,
96,652,Garrochales,PR,D,S,41.1386050,-80.2440040,,,,,,
97,653,Guanica,PR,D,S,29.2060310,-96.2690820,,,,,,
98,656,Guayanilla,PR,D,S,41.3083030,-80.2475020,,,,,,
99,659,Hatillo,PR,D,S,41.3438630,-80.1926810,,,,,,
100,660,Hormigueros,PR,D,S,32.4425800,-96.5883170,,,,,,
101,00662,Isabela,PR,D,S,18.5012260,-67.0227900,,,,,,
102,00664,Jayuya,PR,D,S,18.2198300,-66.5913540,,,,,,
103,00667,Lajas,PR,D,S,18.0451690,-67.0578530,,,,,,
104,00669,Lares,PR,D,S,18.2943540,-66.8843910,,,,,,
105,00670,Las Marias,PR,D,S,18.2963810,-67.1466080,,,,,,
